medicine
كاردورا
تينورمين
أتينول
ليزوبريل
كابوتين
إنالابريل
أملوديبين
نورفاسك
ديجوكسين
لانوكسين
وارفارين
مارثروم
كلوبيدوجريل
بلافيكس
سيمفاستاتين
زوكور
أتورفاستاتين
ليبيتور
فوروسيميد
لازيكس
سبيرونولاكتون
ألداكتون
هيدروكلوروثيازيد
ديوريل
ميتوبرولول
لوبريسور
بروبرانولول
إندرال
كارفيديلول
كورج
ديلتيازيم
كارديزيم
فيراباميل
إيزوبتين
نيفيديبين
أدالات
لوزارتان
كوزار
فالسارتان
ديوفان
كانديسارتان
أتاكاند
إيربيسارتان
أفابرو
تيلميسارتان
ميكارديس
أمورودارون
كوردارون
دوبيوتامين
دوبوتريكس
دوبامين
إنتروبين
نيتروجليسيرين
نيتروديسك
إيزوسوربيد
إيزوردل
برافاستاتين
براقاشول
روزوفاستاتين
كريستور
سالبوتامول
فينتولين
تربوتالين
بريكانيل
أبوتيرول
بودبنت
فورمتيرول
فوراديل
بودزوناد
بولميكورت
فلوتيكازون
فلوفينت
بيكلوميثازون
بيكلوفورت
مونتيلوكاست
سينجولير
ثيوفيلين
ثيودور
أمينوفيلين
فيلوكونتين
إيبراتروبيوم
أتروفينت
تيوتروبيوم
سبيريفا
سالميتيرول
سيرفنت
أوميدازول
براكسين
دافتين
زاديتن
لوراتادين
كلاريتين
سيتيريزين
زيرتك
فيكسوفينادين
تيلفاست
ديسلوراتادين
أيريوس
ليفوسيتيريزين
زايزال
أوكسيميتازولين
أفرين
كلورفينيرامين
هيستوب
ديفينهيدرامين
بينادريل
بروميثازين
فينرجان
أسيلاستين
أستيلين
كرومولين
إنتال
نيدوكروميل
تايلد
رولاستين
أوبتيكروم
أوماليزوماب
زولير
زافيرلوكاست
أكولات
أموكسيسيلين
أموكسيل
أمبيسيلين
تيوتوسين
سيفالكسين
كيفلكس
سيفوروكسيم
زيناسيف
سيفتازيديم
فورتاز
سيفترياكسون
روسيفين
سيفيبيم
ماكسيبيم
أزيثرومايسين
زيثروماكس
كلاريثرومايسين
كلاسيد
إريثرومايسين
إريثروسين
سيبروفلوكساسين
سيبروباي
ليفوفلوكساسين
تافانيك
موكسيفلوكساسين
أفيلوكس
نورفلوكساسين
نوروكسين
أوفلوكساسين
تاريفيد
جاتيفلوكساسين
تيكوين
ميترونيدازول
فلاجيل
تينيدازول
فاسيجين
كليندامايسين
دالاسين
جنتاميسين
جاراميسين
أميكاسين
أميكين
توبراميسين
توبريكس
نيوميسين
ميسين
كوليستين
كوليسترا
بوليميكسين
أيروسبورين
فانكومايسين
فانكوسين
تيكوبلانين
تاكوسيد
لينيزوليد
زيفوكس
تيجسيكلين
تايجاسيل
تريميثوبريم
تريموكس
أوميبرازول
لوسك
إيزوميبرازول
نكسيوم
لانسوبرازول
بريفاسيد
بانتوبرازول
بروتونكس
رابيبرازول
باريت
رانيتدين
زانتاك
فاموتيدين
بيبسيد
سيميتيدين
تاجاميت
نيزاتيدين
أكسيد
دومبيريدون
موتيليوم
ميتوكلوبراميد
بريمبيران
أوندانسيترون
زوفران
جرانيسيترون
كيتريل
بالونوسيترون
ألوكسي
تروبيسيترون
نافوبان
ميساكوبرين
سبازموفري
هيوسين
بوسكوبان
سينيكوت
دولكولاكس
لاكتولوز
دوفالاك
ماكروجول
موفيكول
بيساكوديل
دولكولاكس.1
سيناميثين
جليسرين
سيربورين
لوبيراميد
إيموديوم
سيمثيكون
جاسكون
ماجنسيوم هيدروكسيد
ميلانتا
ألومينيوم هيدروكسيد
ألتاسيد
سكرالفات
كرافات
بسمت سبسترات
بيسمول
بانكرياتين
كريون
هيدروكسيد المغنيسيوم
باراسيتامول
بانادول
إيبوبروفين
أدفيل
أسبرين
إسبرين
ديكلوفيناك
فولتارين
نابروكسين
نابروسين
ميلوكسيكام
موفيك
كيتوبروفين
بروفينيد
سيليكوكسيب
سيليبركس
روفيكوكسيب
فيوكس
إيتوريكوكسيب
أركوكسيا
كودايين
بارالجين
ترامادول
ترامال
أوكسيكودون
أوكسينورم
مورفين
مسم
فينتانيل
دروبريدول
هيدرومورفون
دايلوديد
بيثيدين
ديميرول
ميتادون
دولوفين
بوبرينورفين
تيمجيسيك
نالوكسون
ناركان
كاربامازيبين
تيجريتول
فالبروات
ديباكين
لاموتريجين
لاميكتال
ليفيتراسيتام
كيبرا
توبيراميت
توباماكس
جابابنتين
نيورونتين
بريجابالين
ليريكا
فينيتوين
إيبانتين
كلونازيبام
ريفوتريل
ديازيبام
فاليوم
ليفوثيروكسين
إلتروكسين
كاربيمازول
نيو-ميركازول
بروبيل ثيوراسيل
بروباسيل
ميثيمازول
تاباسول
ليوثيرونين
تيرونورم
أنسولين جلارجين
لانتوس
أنسولين ديتمير
ليفيمير
أنسولين أسبارت
نوفورابيد
أنسولين ليسبرو
هيوملوج
أنسولين جلوليسين
أبيدرا
أنسولين عادي
أكترابيد
أنسولين إيزوفين
هيوميلين
ميتفورمين
جلوكوفاج
جليبينكلاميد
ديوابيل
جليميبيريد
أماريل
جليكلازيد
ديامكرون
بيوجليتازون
أكتوس
روزيجليتازون
أفانديا
أكاربوز
جلوكوباي
ريباجلينيد
نوفونورم
ناتيجلينيد
ستارليكس
سيتاجليبتين
جانوفيا
فيلداجليبتين
جالفوس
ساكساجليبتين
أونجليزا
لينوجليبتين
تراجنتا
إكسيناتيد
بايتا
ليراجلوتيد
فيكتوزا
ألوجليبتين
نيسينا
دابافليفلوزين
فورزيجا
كاناجليفلوزين
إنفوكانا
وارفارين.1
مارثروم.1
هيبارين
هيبانول
إينوكسابارين
كليكسان
دالتيبارين
فراجمين
نادروبارين
فراكسيبارين
فوندابارينوكس
أريكسترا
ريفاروكسابان
زاريلتو
أبيكسابان
إليكويس
دابيجاتران
براداكسا
إيدوكسابان
ليكسيانا
ستريبتوكيناز
ستريبتاز
ألتيبلاز
أكتيلاز
تينكتيبلاز
ميتاليز
ريتيبلاز
رابيليز
كلوبيدوجريل.1
بلافيكس.1
تيكلوبيدين
تيكليد
برازوجريل
إيفينت
تيكاجريلور
بريليكا
ديبيريدامول
بيرسانتين
سيلوستازول
بليتال
إيلتروموبوباج
ريفوليد
روميبلوستيم
إنبلات
ترانيكساميك
سيكلوكابرون
أفيبرينوجين
